creation_datetime	nfc_id	event_name	event_value
2017-05-26 16:08:24	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-05-26 16:18:00	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-05-29 12:38:09	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-05-29 12:49:22	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-05-30 15:10:08	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-05-30 15:21:24	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-05-30 18:50:13	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-05-30 18:56:43	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-05-31 12:26:26	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-05-31 12:40:42	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-05-31 20:02:10	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-05-31 20:12:50	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-05 12:28:07	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-05 12:35:09	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-06 12:27:11	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-06 12:31:14	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-06 17:10:39	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-06 17:24:29	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-07 10:55:57	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-07 11:02:29	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-08 12:32:16	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-08 12:35:24	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-09 14:34:30	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-09 14:41:20	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-12 18:30:15	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-12 18:41:26	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-14 13:50:24	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-14 14:01:53	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-16 14:22:19	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-16 14:25:59	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-16 17:55:43	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-16 18:02:13	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-19 14:57:16	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-19 15:05:41	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-20 12:59:36	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-20 13:11:10	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-21 14:28:26	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-21 14:36:16	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-28 17:48:48	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-28 17:58:26	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-06-30 15:39:02	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-06-30 15:51:52	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-03 10:28:52	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-03 10:35:21	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-04 14:54:48	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-04 15:06:27	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-05 14:50:59	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-05 14:58:59	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-05 18:12:31	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-05 18:16:30	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-07 12:17:07	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-07 12:26:00	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-10 17:15:01	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-10 17:28:41	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-12 17:57:31	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-12 18:01:01	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-18 11:45:53	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-18 11:52:53	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-24 10:31:17	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-24 10:43:09	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-25 13:55:18	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-25 14:09:18	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-26 18:39:30	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-26 18:49:20	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-27 15:28:24	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-27 15:43:04	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-07-27 18:49:43	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-07-27 19:04:02	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-08-14 11:53:51	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-08-14 12:03:33	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-08-14 18:32:22	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-08-14 18:43:50	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-08-16 10:33:08	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-08-16 10:42:35	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-08-16 16:47:40	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-08-16 16:59:00	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-08-17 11:57:05	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-08-17 12:09:56	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-08-21 16:11:56	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-08-21 16:23:16	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-08-22 15:19:24	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-08-22 15:26:58	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-08-24 10:19:25	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-08-24 10:26:55	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-08-24 12:37:07	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-08-24 12:44:47	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-08-25 14:07:09	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-08-25 14:20:25	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-08-28 18:13:54	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-08-28 18:17:34	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-09-18 16:24:36	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-09-18 16:34:08	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-09-25 14:58:36	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-09-25 15:05:06	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-09-25 17:55:39	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-09-25 17:59:29	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-09-27 15:09:03	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-09-27 15:20:58	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-10-02 17:07:45	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-10-02 17:17:19	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-10-03 13:46:07	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-10-03 13:54:24	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-10-06 15:49:47	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-10-06 16:07:05	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-10-10 17:12:48	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-10-10 17:21:28	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-10-11 12:01:22	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-10-11 12:16:23	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-10-16 18:14:19	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-10-16 18:32:01	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
2017-10-17 15:21:01	04:2d:d1:62:a1:48:80	take-a-shit	TRUE
2017-10-17 15:32:59	04:2d:d1:62:a1:48:80	take-a-shit	FALSE
